time_s,input_rad,output_rad,ring_contacts,cam_contacts,max_penetration_mm,min_volume_ratio,max_volume_ratio,max_contact_penalty_N,center_drift_mm
0.0,0.0,5.139730863135128e-10,24,252,0.06649699807167053,0.9989081025123596,0.9989140033721924,6.649700164794922,2.6171883860115486e-07
0.03333333333333333,0.0,2.5020362954819575e-06,20,146,0.0004031317075714469,0.9850975275039673,1.0185742378234863,0.04031316936016083,7.046745622574235e-07
0.06666666666666667,0.0,-0.0006296805222518742,6,76,0.0002549040946178138,0.9857599139213562,1.0171582698822021,0.02549040876328945,7.610055490658851e-06
0.09999999999999999,0.0,-0.0007578047807328403,0,130,9.865289030130953e-05,0.9898474812507629,1.0137940645217896,0.009865288622677326,1.3828132068738341e-05
0.13333333333333333,0.0,-0.0008450769237242639,4,99,0.00026686210185289383,0.9939727783203125,1.0143177509307861,0.026686212047934532,1.5337653167080134e-05
0.16666666666666677,0.0,-0.0010222382843494415,6,171,0.00016347075870726258,0.9887883067131042,1.020522952079773,0.01634707674384117,1.0977360943797976e-05
0.2000000000000002,0.0,-0.0011216695420444012,0,153,4.5363776735030115e-05,0.9904821515083313,1.0104234218597412,0.004536377731710672,5.932568910793634e-06
0.23333333333333364,0.0,-0.0012512662215158343,0,120,2.854358172044158e-05,0.9930000901222229,1.0109186172485352,0.002854358172044158,3.865777216560673e-06
0.26666666666666694,0.0,-0.0014049486489966512,0,153,3.377681423444301e-05,0.9919726848602295,1.0112650394439697,0.00337768136523664,6.948330337763764e-06
0.30000000000000016,0.0,-0.0016490390989929438,0,142,4.9143636715598404e-05,0.9923568367958069,1.010209560394287,0.004914363846182823,8.080172847257927e-06
0.33333333333333337,0.0,-0.0020312415435910225,2,84,6.643676897510886e-05,0.9894691109657288,1.0111069679260254,0.00664367713034153,3.390694018889917e-06
0.3666666666666666,0.0,-0.0024653032887727022,6,96,0.00013812132237944752,0.9896774888038635,1.0079915523529053,0.013812132179737091,3.586298134905519e-06
0.3999999999999998,0.0,-0.002445061458274722,4,74,0.0003855220857076347,0.9936286807060242,1.0072338581085205,0.03855220600962639,4.405555046105292e-06
0.433333333333333,0.0,-0.001984979258850217,4,98,0.00012988857633899897,0.9944688081741333,1.0059884786605835,0.012988857924938202,2.8266574645385845e-06
0.46666666666666623,0.0,-0.0014743892243131995,0,114,1.9814251572825015e-05,0.9946013689041138,1.0058112144470215,0.0019814250990748405,3.0828114176983945e-06
0.49999999999999944,0.0,-0.0009827666217461228,0,110,1.7240381566807628e-05,0.9943130016326904,1.0056309700012207,0.0017240381566807628,7.341379841818707e-06
0.5333333333333327,0.0021266630940701137,-0.0005056245136074722,0,66,1.0435542208142579e-05,0.9939208626747131,1.0056912899017334,0.001043554162606597,1.1045869541703723e-05
0.5666666666666659,0.008148751257828657,3.3960011933231726e-05,0,88,2.0776496967300773e-05,0.9938509464263916,1.00580894947052,0.002077649813145399,6.252432740438962e-06
0.5999999999999991,0.017580011508909532,0.0006296375649981201,0,106,2.1193045540712774e-05,0.9943703413009644,1.0057405233383179,0.0021193046122789383,4.945914042764343e-07
0.6333333333333323,0.029994888210840842,0.0012208150001242757,6,92,0.00019161780073773116,0.994424045085907,1.0061050653457642,0.019161779433488846,5.441843313747086e-06
0.6666666666666655,0.04502094642481411,0.0014720909530296922,8,112,0.00022734275262337178,0.9941138029098511,1.0062776803970337,0.022734275087714195,8.428047294728458e-06
0.6999999999999987,0.06233224102930468,0.0012752885231748223,8,116,0.00028824980836361647,0.9943804740905762,1.0064494609832764,0.028824979439377785,8.518477443431038e-06
0.733333333333332,0.08164351355048205,0.0006430384237319231,6,117,0.0003850091015920043,0.9948851466178894,1.006632924079895,0.038500912487506866,1.1524743058544118e-05
0.7666666666666652,0.1027051133830188,-0.00040025514317676425,4,131,0.000318139442242682,0.9951019883155823,1.0063824653625488,0.03181394189596176,1.0021536581916735e-05
0.7999999999999984,0.12529855297804937,-0.001677449094131589,2,111,0.00013545650290325284,0.9947704076766968,1.0063296556472778,0.01354565005749464,7.587128038721858e-06
0.8333333333333316,0.14923261786226374,-0.002984304679557681,4,94,3.724017005879432e-05,0.9944489598274231,1.0060243606567383,0.003724016947671771,5.1146971600246616e-06
0.8666666666666648,0.17433996223040593,-0.0042503303848207,4,75,7.611743058077991e-05,0.9941612482070923,1.0054296255111694,0.007611743174493313,3.9353953980025835e-06
0.899999999999998,0.20047412949866228,-0.005446192342787981,0,74,1.7984348232857883e-05,0.9942206144332886,1.006309151649475,0.0017984348814934492,2.908540636781254e-06
0.9333333333333312,0.2275069447724808,-0.0065578618086874485,0,24,1.887201506178826e-05,0.9941801428794861,1.005985975265503,0.001887201564386487,4.043846729473444e-06
0.9666666666666645,0.2553262328039785,-0.007566481828689575,0,72,2.0208972273394465e-05,0.9943166971206665,1.0057467222213745,0.0020208973437547684,9.10581093194196e-06
0.9999999999999977,0.28383382080915115,-0.008469072170555592,0,93,1.6481862985529006e-05,0.9940724968910217,1.0057848691940308,0.0016481862403452396,6.919879979250254e-06
1.033333333333331,0.31294379058678223,-0.009289180859923363,2,69,9.742143447510898e-05,0.9941570162773132,1.0057568550109863,0.00974214356392622,5.754785888711922e-06
1.0666666666666642,0.3425809488195464,-0.010057339444756508,2,85,5.8269506553187966e-05,0.9942678213119507,1.0060768127441406,0.005826950538903475,4.352779797045514e-06
1.0999999999999974,0.37267948832235076,-0.01074393093585968,2,46,0.00014224497135728598,0.9942349791526794,1.005791425704956,0.014224497601389885,6.410395599232288e-06
1.1333333333333306,0.4031818164026004,-0.011470719240605831,4,48,0.00026781525230035186,0.9940611124038696,1.0063025951385498,0.02678152732551098,5.196481652092189e-06
1.1666666666666639,0.4340375294723644,-0.012434303760528564,6,66,0.00018017453840002418,0.9942491054534912,1.0059332847595215,0.01801745407283306,3.7488230191229377e-06
1.199999999999997,0.4652025156563018,-0.013589962385594845,8,86,0.00011027987056877464,0.9942842125892639,1.0058574676513672,0.011027987115085125,7.661628842470236e-06
